📊 خلاصه پوشه: Best_30m
تاریخ تولید,2026-07-21 09:27:26

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت,درصد سود > ۰%,درصد سود > ۱%,درصد سود > ۵%,درصد ضرر > ۵%,بیشترین سود یک معامله(%),بیشترین ضرر یک معامله(%),انحراف معیار سود,تعداد اوت‌لایرها,مجموع سود اوت‌لایرها(%),درصد سود از اوت‌لایرها,سهم بهترین معامله از بازده کل(%),سهم ۳ معامله برتر از بازده کل(%),بازه بکتست (ماه),ماه‌های بدون معامله,میانگین سود ماهانه,انحراف معیار سود ماهانه,بهترین ماه(%),بدترین ماه(%),درصد ماه‌های سودده,میانگین سود در ماه‌های سودده,میانگین ضرر در ماه‌های ضررده,بیشترین ضرر متوالی ماهانه,تعداد معاملات در ماه (میانگین),انحراف معیار تعداد معاملات,نسبت شارپ (ماهانه),نسبت سورتینو,حداکثر افت سرمایه(%),مدت بازگشت از افت (ماه),نسبت کالمار
13,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,10312,3267,7045,31.68,-1109.5574,-1109.5574,-12.00,24,-1112.65,1.472,-0.102,⚠️ منفی,31.68,6.88,0.62,0.00,24.9874,-0.5490,1.0582,286,1364.5532,-122.98,0.00,0.00,101,0,-10.9857,12.8895,25.7736,-49.6598,17.82,8.6437,-15.2427,15,102.10,29.79,-0.852,-1.156,-1111.55,0,-0.119
14,PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,6696,2035,4661,30.39,-857.0972,-857.0972,-12.08,25,-874.90,1.441,-0.123,⚠️ منفی,30.39,6.54,0.55,0.00,24.9874,-0.5490,1.0374,166,804.6797,-93.88,0.00,0.00,97,0,-8.8361,10.1351,22.7420,-35.4411,15.46,7.3749,-11.8015,15,69.03,25.54,-0.872,-1.161,-873.30,0,-0.121
15,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,8566,2724,5842,31.80,-510.2371,-510.2371,-12.99,26,-512.14,1.769,-0.050,⚠️ منفی,31.80,8.32,0.82,0.00,27.0864,-0.4998,1.1868,299,1447.5526,-283.70,0.00,0.00,101,0,-5.0519,13.0096,38.5527,-33.4484,30.69,10.6128,-11.9890,9,84.81,18.46,-0.388,-0.708,-510.24,0,-0.119
16,PAXGUSDT-1m_SOLUSDT-1m,3717,1162,2555,31.26,-510.0102,-510.0102,-13.49,27,-526.00,1.309,-0.146,⚠️ منفی,31.26,6.46,0.38,0.00,17.0914,-0.5490,0.9366,86,380.4553,-74.60,0.00,0.00,70,0,-7.2859,8.1797,15.4909,-27.5436,18.57,4.8962,-10.0642,19,53.10,9.67,-0.891,-1.234,-525.50,0,-0.166
17,BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,9552,3069,6483,32.13,-657.6036,-657.6036,-13.49,27,-672.40,1.682,-0.058,⚠️ منفی,32.13,7.79,0.83,0.00,27.0864,-0.4998,1.1826,314,1559.1481,-237.10,0.00,0.00,101,0,-6.5109,12.9835,36.3534,-34.0880,28.71,9.6205,-13.0083,7,94.57,16.19,-0.501,-0.821,-670.00,0,-0.117
18,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,10290,3358,6932,32.63,-820.5267,-820.5267,-13.49,27,-822.43,1.572,-0.072,⚠️ منفی,32.63,7.64,0.68,0.00,27.0864,-0.5490,1.1102,320,1515.3791,-184.68,0.00,0.00,101,0,-8.1240,14.0263,32.8548,-50.2960,24.75,9.8418,-14.0338,9,101.88,28.34,-0.579,-0.826,-820.53,0,-0.119
19,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,11276,3703,7573,32.84,-967.8932,-967.8932,-13.49,27,-977.94,1.518,-0.077,⚠️ منفی,32.84,7.25,0.70,0.00,27.0864,-0.5490,1.1133,335,1626.9745,-168.09,0.00,0.00,101,0,-9.5831,13.9730,30.6555,-47.4977,20.79,10.6237,-14.8874,12,111.64,20.84,-0.686,-0.989,-975.54,0,-0.118
20,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,13269,4231,9038,31.89,-1167.6137,-1167.6137,-13.49,27,-1169.52,1.581,-0.079,⚠️ منفی,31.89,7.42,0.70,0.00,27.0864,-0.5490,1.1196,400,1939.6034,-166.12,0.00,0.00,101,0,-11.5605,15.7581,28.4301,-58.1936,21.78,10.0411,-17.5762,12,131.38,31.62,-0.734,-0.994,-1167.61,0,-0.119
21,BTCUSDT-1m,3616,1232,2384,34.07,-252.4602,-252.4602,-7.50,15,-252.76,1.523,-0.064,⚠️ منفی,34.07,7.49,0.75,0.00,15.1924,-0.4998,1.0947,120,559.8735,-221.77,0.00,0.00,101,0,-2.4996,7.8209,41.6696,-18.2932,25.74,6.8119,-5.7276,9,35.80,7.35,-0.320,-0.657,-252.46,0,-0.119
22,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,11545,3597,7948,31.16,-857.3241,-857.3241,-14.99,30,-860.81,1.731,-0.063,⚠️ منفی,31.16,7.89,0.81,0.00,27.0864,-0.4998,1.1778,379,1871.7770,-218.33,0.00,0.00,101,0,-8.4884,14.8315,32.3540,-41.3459,30.69,9.4305,-16.4239,7,114.31,22.82,-0.572,-0.936,-857.32,0,-0.119
23,ETHUSDT-1m_XRPUSDT-1m,5936,1837,4099,30.95,-405.1434,-405.1434,-15.49,31,-447.03,1.789,-0.055,⚠️ منفی,30.95,7.97,0.88,0.00,27.0864,-0.4998,1.2332,194,999.2746,-246.65,0.00,0.00,101,0,-4.0113,9.6271,23.1062,-22.0129,27.72,8.0589,-8.6410,9,58.77,11.68,-0.417,-0.707,-442.14,0,-0.109
24,ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,7660,2471,5189,32.26,-715.4330,-715.4330,-15.49,31,-762.98,1.516,-0.083,⚠️ منفی,32.26,7.13,0.68,0.00,27.0864,-0.5490,1.1220,215,1067.1010,-149.15,0.00,0.00,101,0,-7.0835,10.9379,25.8140,-33.2791,22.77,8.3652,-11.6389,11,75.84,17.62,-0.648,-1.006,-755.20,0,-0.113
25,ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,7929,2365,5564,29.83,-604.8640,-604.8640,-15.49,31,-633.27,1.840,-0.063,⚠️ منفی,29.83,8.07,0.83,0.00,27.0864,-0.4998,1.2139,259,1311.9035,-216.89,0.00,0.00,101,0,-5.9888,11.7439,31.4793,-31.2791,29.70,8.1224,-11.9512,9,78.50,20.02,-0.510,-0.822,-627.58,0,-0.115
26,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,9653,2999,6654,31.07,-915.1536,-915.1536,-15.49,31,-939.12,1.604,-0.084,⚠️ منفی,31.07,7.39,0.68,0.00,27.0864,-0.5490,1.1287,280,1379.7299,-150.76,0.00,0.00,101,0,-9.0609,12.9054,24.0140,-43.9750,22.77,8.1916,-14.1482,12,95.57,29.70,-0.702,-0.960,-933.13,0,-0.117
27,ETHUSDT-1m,2957,964,1993,32.60,-58.0564,-58.0564,-8.50,17,-95.79,1.947,-0.015,⚠️ منفی,32.60,9.30,0.98,0.00,27.0864,-0.4998,1.3092,114,575.0502,-990.50,0.00,0.00,101,0,-0.5748,6.2938,20.7884,-12.1953,38.61,5.5212,-4.4094,12,29.28,5.85,-0.091,-0.178,-88.60,0,-0.078
28,SOLUSDT-1m,1993,528,1465,26.49,-199.7206,-199.7206,-9.00,18,-246.19,2.017,-0.087,⚠️ منفی,26.49,8.38,0.70,0.00,17.0914,-0.4998,1.1546,65,312.6289,-156.53,0.00,0.00,70,0,-2.8532,6.9913,27.3848,-14.1952,24.29,6.2011,-5.7574,9,28.47,6.54,-0.408,-0.824,-243.69,0,-0.140
29,BTCUSDT-1m_PAXGUSDT-1m,5340,1866,3474,34.94,-562.7498,-562.7498,-9.50,19,-563.05,1.250,-0.110,⚠️ منفی,34.94,6.44,0.51,0.00,15.1924,-0.5490,0.9624,141,627.7000,-111.54,0.00,0.00,101,0,-5.5718,9.0171,35.9717,-31.0663,20.79,7.0172,-8.8764,17,52.87,14.54,-0.618,-0.994,-562.75,0,-0.119
30,ETHUSDT-1m_SOLUSDT-1m,4950,1492,3458,30.14,-257.7769,-257.7769,-9.50,19,-272.07,1.971,-0.042,⚠️ منفی,30.14,8.93,0.87,0.00,27.0864,-0.4998,1.2498,179,887.6791,-344.36,0.00,0.00,101,0,-2.5522,9.2021,29.5820,-19.2297,30.69,8.0566,-7.2504,12,49.01,15.89,-0.277,-0.469,-268.18,0,-0.114
31,ETHUSDT-1m_PAXGUSDT-1m,4681,1598,3083,34.14,-368.3460,-368.3460,-10.00,20,-411.58,1.462,-0.071,⚠️ منفی,34.14,7.43,0.62,0.00,27.0864,-0.5490,1.1030,135,642.8767,-174.53,0.00,0.00,101,0,-3.6470,8.1063,24.2059,-25.3815,28.71,5.8346,-7.4660,17,46.35,13.83,-0.450,-0.668,-404.30,0,-0.108

ترکیب‌های با بازدهی مثبت,0/31
ترکیب‌های با بازدهی ≥۱٪,0/31
میانگین بازدهی ویژه,-602.6393%
