📊 خلاصه پوشه: Best_1h
تاریخ تولید,2026-07-21 09:27:26

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت,درصد سود > ۰%,درصد سود > ۱%,درصد سود > ۵%,درصد ضرر > ۵%,بیشترین سود یک معامله(%),بیشترین ضرر یک معامله(%),انحراف معیار سود,تعداد اوت‌لایرها,مجموع سود اوت‌لایرها(%),درصد سود از اوت‌لایرها,سهم بهترین معامله از بازده کل(%),سهم ۳ معامله برتر از بازده کل(%),بازه بکتست (ماه),ماه‌های بدون معامله,میانگین سود ماهانه,انحراف معیار سود ماهانه,بهترین ماه(%),بدترین ماه(%),درصد ماه‌های سودده,میانگین سود در ماه‌های سودده,میانگین ضرر در ماه‌های ضررده,بیشترین ضرر متوالی ماهانه,تعداد معاملات در ماه (میانگین),انحراف معیار تعداد معاملات,نسبت شارپ (ماهانه),نسبت سورتینو,حداکثر افت سرمایه(%),مدت بازگشت از افت (ماه),نسبت کالمار
13,PAXGUSDT-1m_XRPUSDT-1m,2159,644,1515,29.83,-318.8090,-318.8090,-12.44,25,-327.67,1.350,-0.134,⚠️ منفی,29.83,5.65,0.56,0.00,31.2843,-0.4998,1.1001,50,245.3433,-76.96,0.00,0.00,97,0,-3.2867,6.2087,38.0691,-12.5668,17.53,5.8657,-5.2316,27,22.26,8.07,-0.529,-1.097,-325.27,0,-0.121
14,SOLUSDT-1m_XRPUSDT-1m,1946,433,1513,22.25,-234.6226,-234.6226,-12.50,25,-234.72,2.407,-0.091,⚠️ منفی,22.25,7.50,0.87,0.00,31.2843,-0.4998,1.3218,439,518.5760,-221.03,0.00,0.00,97,0,-2.4188,6.7079,36.1808,-14.7942,22.68,6.2460,-4.9605,14,20.06,7.02,-0.361,-0.774,-234.62,0,-0.124
15,BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,4218,1207,3011,28.62,-202.4006,-202.4006,-12.50,25,-283.38,2.158,-0.033,⚠️ منفی,28.62,8.08,1.04,0.00,31.2843,-0.4998,1.4568,159,881.7318,-435.64,0.00,0.00,101,0,-2.0040,11.2980,48.2621,-18.3937,31.68,10.4278,-7.7694,6,41.76,8.80,-0.177,-0.419,-274.59,0,-0.088
16,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,3743,1156,2587,30.88,-293.3337,-293.3337,-12.50,25,-303.96,1.726,-0.069,⚠️ منفی,30.88,7.69,0.72,0.00,15.1924,-0.4998,1.1347,128,610.7389,-208.21,0.00,0.00,101,0,-2.9043,7.0039,20.2623,-18.2940,32.67,4.8327,-6.6590,12,37.06,13.75,-0.415,-0.691,-300.66,0,-0.116
17,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,5258,1586,3672,30.16,-367.0910,-367.0910,-12.50,25,-448.36,1.849,-0.052,⚠️ منفی,30.16,7.44,0.87,0.00,31.2843,-0.4998,1.3403,177,945.4676,-257.56,0.00,0.00,101,0,-3.6346,11.5299,48.5612,-21.0114,26.73,11.2090,-9.0504,7,52.06,11.90,-0.315,-0.753,-443.16,0,-0.098
18,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,5045,1375,3670,27.25,-282.9046,-282.9046,-12.50,25,-347.47,2.256,-0.039,⚠️ منفی,27.25,8.23,1.01,0.00,31.2843,-0.4998,1.4236,193,1049.6699,-371.03,0.00,0.00,101,0,-2.8010,12.0411,52.0597,-20.0929,30.69,11.0333,-8.9277,6,49.95,11.14,-0.233,-0.527,-341.37,0,-0.098
19,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,6085,1754,4331,28.82,-447.5950,-447.5950,-12.50,25,-518.63,1.955,-0.055,⚠️ منفی,28.82,7.64,0.87,0.00,31.2843,-0.4998,1.3271,211,1113.4057,-248.75,0.00,0.00,101,0,-4.4316,12.1976,52.3588,-20.9450,26.73,10.9151,-10.0311,6,60.25,16.21,-0.363,-0.781,-513.43,0,-0.104
20,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,4862,1421,3441,29.23,-447.4522,-447.4522,-13.99,28,-457.41,1.787,-0.077,⚠️ منفی,29.23,7.40,0.76,0.00,31.2843,-0.4998,1.1955,160,792.3464,-177.08,0.00,0.00,101,0,-4.4302,9.2590,35.9689,-21.7929,23.76,7.5838,-8.1748,8,48.14,15.23,-0.478,-0.844,-452.11,0,-0.118
21,ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,3169,766,2403,24.17,-234.7653,-234.7653,-14.49,29,-290.14,2.522,-0.049,⚠️ منفی,24.17,7.92,1.04,0.00,31.2843,-0.4998,1.5042,778,960.2565,-409.03,0.00,0.00,101,0,-2.3244,9.8618,54.0937,-17.4008,26.73,9.0298,-6.4672,20,31.38,9.16,-0.236,-0.605,-283.05,0,-0.099
22,PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,2986,812,2174,27.19,-399.3129,-399.3129,-16.93,34,-400.29,1.685,-0.117,⚠️ منفی,27.19,6.56,0.64,0.00,31.2843,-0.4998,1.1406,84,413.2814,-103.50,0.00,0.00,97,0,-4.1166,7.4531,38.4686,-18.5935,18.56,6.2705,-6.4833,22,30.78,13.12,-0.552,-0.967,-399.31,0,-0.124
