گروه,پوشه,symbol,معاملات,سودده,زیانده,وین‌ریت(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,بازده واقعی(%),بازده ویژه(%),نوع,درصد سود > ۰%,درصد سود > ۱%,درصد سود > ۵%,درصد ضرر > ۵%,بیشترین سود یک معامله(%),بیشترین ضرر یک معامله(%),انحراف معیار سود,تعداد اوت‌لایرها,مجموع سود اوت‌لایرها(%),درصد سود از اوت‌لایرها,سهم بهترین معامله از بازده کل(%),سهم ۳ معامله برتر از بازده کل(%),بازه بکتست (ماه),ماه‌های بدون معامله,میانگین سود ماهانه,انحراف معیار سود ماهانه,بهترین ماه(%),بدترین ماه(%),درصد ماه‌های سودده,میانگین سود در ماه‌های سودده,میانگین ضرر در ماه‌های ضررده,بیشترین ضرر متوالی ماهانه,تعداد معاملات در ماه (میانگین),انحراف معیار تعداد معاملات,نسبت شارپ (ماهانه),نسبت سورتینو,حداکثر افت سرمایه(%),مدت بازگشت از افت (ماه),نسبت کالمار
aggregated,Best_1h_SOLUSDT-1m_XRPUSDT-1m,SOLUSDT-1m_XRPUSDT-1m,1946,433,1513,22.25,-12.50,25,-234.72,2.407,-0.091,-234.6226,-234.6226,اصلی,22.25,7.50,0.87,0.00,31.2843,-0.4998,1.3218,439,518.5760,-221.03,0.00,0.00,97,0,-2.4188,6.7079,36.1808,-14.7942,22.68,6.2460,-4.9605,14,20.06,7.02,-0.361,-0.774,-234.62,0,-0.124
aggregated,Best_1h_BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,4218,1207,3011,28.62,-12.50,25,-283.38,2.158,-0.033,-202.4006,-202.4006,اصلی,28.62,8.08,1.04,0.00,31.2843,-0.4998,1.4568,159,881.7318,-435.64,0.00,0.00,101,0,-2.0040,11.2980,48.2621,-18.3937,31.68,10.4278,-7.7694,6,41.76,8.80,-0.177,-0.419,-274.59,0,-0.088
aggregated,Best_1h_BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,3743,1156,2587,30.88,-12.50,25,-303.96,1.726,-0.069,-293.3337,-293.3337,اصلی,30.88,7.69,0.72,0.00,15.1924,-0.4998,1.1347,128,610.7389,-208.21,0.00,0.00,101,0,-2.9043,7.0039,20.2623,-18.2940,32.67,4.8327,-6.6590,12,37.06,13.75,-0.415,-0.691,-300.66,0,-0.116
aggregated,Best_1h_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,5258,1586,3672,30.16,-12.50,25,-448.36,1.849,-0.052,-367.0910,-367.0910,اصلی,30.16,7.44,0.87,0.00,31.2843,-0.4998,1.3403,177,945.4676,-257.56,0.00,0.00,101,0,-3.6346,11.5299,48.5612,-21.0114,26.73,11.2090,-9.0504,7,52.06,11.90,-0.315,-0.753,-443.16,0,-0.098
aggregated,Best_1h_BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,5045,1375,3670,27.25,-12.50,25,-347.47,2.256,-0.039,-282.9046,-282.9046,اصلی,27.25,8.23,1.01,0.00,31.2843,-0.4998,1.4236,193,1049.6699,-371.03,0.00,0.00,101,0,-2.8010,12.0411,52.0597,-20.0929,30.69,11.0333,-8.9277,6,49.95,11.14,-0.233,-0.527,-341.37,0,-0.098
aggregated,Best_1h_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,6085,1754,4331,28.82,-12.50,25,-518.63,1.955,-0.055,-447.5950,-447.5950,اصلی,28.82,7.64,0.87,0.00,31.2843,-0.4998,1.3271,211,1113.4057,-248.75,0.00,0.00,101,0,-4.4316,12.1976,52.3588,-20.9450,26.73,10.9151,-10.0311,6,60.25,16.21,-0.363,-0.781,-513.43,0,-0.104
aggregated,Best_5m_BTCUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_SOLUSDT-1m,27607,11090,16517,40.17,-15.83,2,-2387.10,1.067,-0.090,-2386.1039,-2386.1039,اصلی,40.17,6.79,0.40,0.06,31.2843,-10.2019,0.9647,643,2643.5407,-110.79,0.00,0.00,101,0,-23.6248,22.4319,44.8819,-80.8243,9.90,23.4245,-28.7950,27,273.34,86.84,-1.053,-1.442,-2386.10,0,-0.119
aggregated,Best_30m_BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,8566,2724,5842,31.80,-12.99,26,-512.14,1.769,-0.050,-510.2371,-510.2371,اصلی,31.80,8.32,0.82,0.00,27.0864,-0.4998,1.1868,299,1447.5526,-283.70,0.00,0.00,101,0,-5.0519,13.0096,38.5527,-33.4484,30.69,10.6128,-11.9890,9,84.81,18.46,-0.388,-0.708,-510.24,0,-0.119
aggregated,Best_5m_ETHUSDT-1m,ETHUSDT-1m,16481,6743,9738,40.91,-16.58,4,-1234.50,1.085,-0.076,-1226.3063,-1226.3063,اصلی,40.91,6.84,0.44,0.02,31.2843,-15.2999,0.9809,415,1771.1239,-144.43,0.00,0.00,101,0,-12.1416,16.3952,39.1704,-48.4317,17.82,14.0679,-17.8256,12,163.18,29.20,-0.741,-1.166,-1226.31,0,-0.119
aggregated,Best_15m_SOLUSDT-1m,SOLUSDT-1m,4286,1397,2889,32.59,-13.49,27,-326.37,1.664,-0.058,-281.3578,-281.3578,اصلی,32.59,8.73,0.51,0.00,22.9885,-0.5122,1.1376,131,619.4649,-220.17,0.00,0.00,70,0,-4.0194,8.0512,24.0856,-17.0956,25.71,6.8755,-7.7907,10,61.23,9.15,-0.499,-0.959,-323.77,0,-0.149
aggregated,Best_30m_PAXGUSDT-1m_SOLUSDT-1m,PAXGUSDT-1m_SOLUSDT-1m,3717,1162,2555,31.26,-13.49,27,-526.00,1.309,-0.146,-510.0102,-510.0102,اصلی,31.26,6.46,0.38,0.00,17.0914,-0.5490,0.9366,86,380.4553,-74.60,0.00,0.00,70,0,-7.2859,8.1797,15.4909,-27.5436,18.57,4.8962,-10.0642,19,53.10,9.67,-0.891,-1.234,-525.50,0,-0.166
aggregated,Best_30m_BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,9552,3069,6483,32.13,-13.49,27,-672.40,1.682,-0.058,-657.6036,-657.6036,اصلی,32.13,7.79,0.83,0.00,27.0864,-0.4998,1.1826,314,1559.1481,-237.10,0.00,0.00,101,0,-6.5109,12.9835,36.3534,-34.0880,28.71,9.6205,-13.0083,7,94.57,16.19,-0.501,-0.821,-670.00,0,-0.117
aggregated,Best_30m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,10290,3358,6932,32.63,-13.49,27,-822.43,1.572,-0.072,-820.5267,-820.5267,اصلی,32.63,7.64,0.68,0.00,27.0864,-0.5490,1.1102,320,1515.3791,-184.68,0.00,0.00,101,0,-8.1240,14.0263,32.8548,-50.2960,24.75,9.8418,-14.0338,9,101.88,28.34,-0.579,-0.826,-820.53,0,-0.119
aggregated,Best_30m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,11276,3703,7573,32.84,-13.49,27,-977.94,1.518,-0.077,-967.8932,-967.8932,اصلی,32.84,7.25,0.70,0.00,27.0864,-0.5490,1.1133,335,1626.9745,-168.09,0.00,0.00,101,0,-9.5831,13.9730,30.6555,-47.4977,20.79,10.6237,-14.8874,12,111.64,20.84,-0.686,-0.989,-975.54,0,-0.118
aggregated,Best_30m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,13269,4231,9038,31.89,-13.49,27,-1169.52,1.581,-0.079,-1167.6137,-1167.6137,اصلی,31.89,7.42,0.70,0.00,27.0864,-0.5490,1.1196,400,1939.6034,-166.12,0.00,0.00,101,0,-11.5605,15.7581,28.4301,-58.1936,21.78,10.0411,-17.5762,12,131.38,31.62,-0.734,-0.994,-1167.61,0,-0.119
aggregated,Best_5m_BTCUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_XRPUSDT-1m,31433,12591,18842,40.06,-16.49,33,-3036.58,1.022,-0.103,-3035.5864,-3035.5864,اصلی,40.06,6.29,0.43,0.04,24.9874,-13.0280,0.9408,701,2935.9435,-96.72,0.00,0.00,101,0,-30.0553,21.4164,21.2719,-84.9318,10.89,9.1008,-34.8411,19,311.22,57.32,-1.403,-1.741,-3035.59,0,-0.119
aggregated,Best_15m_SOLUSDT-1m_XRPUSDT-1m,SOLUSDT-1m_XRPUSDT-1m,10494,3424,7070,32.63,-13.99,28,-1028.99,1.462,-0.095,-1028.9907,-1028.9907,اصلی,32.63,7.54,0.50,0.00,22.9885,-0.5207,1.0337,281,1309.8567,-127.30,0.00,0.00,97,0,-10.6082,10.1144,16.1475,-33.6927,13.40,7.6235,-13.4297,22,108.19,31.53,-1.049,-1.438,-1028.99,0,-0.124
aggregated,Best_1h_BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,4862,1421,3441,29.23,-13.99,28,-457.41,1.787,-0.077,-447.4522,-447.4522,اصلی,29.23,7.40,0.76,0.00,31.2843,-0.4998,1.1955,160,792.3464,-177.08,0.00,0.00,101,0,-4.4302,9.2590,35.9689,-21.7929,23.76,7.5838,-8.1748,8,48.14,15.23,-0.478,-0.844,-452.11,0,-0.118
aggregated,Best_5m_BTCUSDT-1m,BTCUSDT-1m,15052,6227,8825,41.37,-17.83,6,-1301.77,1.004,-0.094,-1300.8756,-1300.8756,اصلی,41.37,6.42,0.37,0.03,17.0914,-8.4459,0.9150,341,1408.6551,-108.29,0.00,0.00,101,0,-12.8800,15.3465,38.3499,-46.5685,14.85,11.2975,-17.0970,27,149.03,35.63,-0.839,-1.109,-1300.88,0,-0.119
aggregated,Best_15m_BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,23268,8140,15128,34.98,-14.49,29,-1787.40,1.419,-0.072,-1782.6169,-1782.6169,اصلی,34.98,7.56,0.55,0.00,29.1854,-0.5207,1.0702,660,3124.1403,-175.26,0.00,0.00,101,0,-17.6497,17.6414,32.4038,-56.0877,13.86,11.3116,-22.3101,22,230.38,41.28,-1.000,-1.283,-1782.62,0,-0.119
aggregated,Best_1h_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,3169,766,2403,24.17,-14.49,29,-290.14,2.522,-0.049,-234.7653,-234.7653,اصلی,24.17,7.92,1.04,0.00,31.2843,-0.4998,1.5042,778,960.2565,-409.03,0.00,0.00,101,0,-2.3244,9.8618,54.0937,-17.4008,26.73,9.0298,-6.4672,20,31.38,9.16,-0.236,-0.605,-283.05,0,-0.099
aggregated,Best_15m_BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,17060,6113,10947,35.83,-14.99,30,-1039.77,1.451,-0.055,-1034.9839,-1034.9839,اصلی,35.83,7.86,0.58,0.00,29.1854,-0.5122,1.1088,510,2433.7485,-235.15,0.00,0.00,101,0,-10.2474,14.7464,31.2454,-42.6893,28.71,8.0289,-17.6086,16,168.91,33.91,-0.695,-1.093,-1034.98,0,-0.119
aggregated,Best_5m_ETHUSDT-1m_SOLUSDT-1m,ETHUSDT-1m_SOLUSDT-1m,29036,11606,17430,39.97,-17.80,6,-2319.83,1.111,-0.080,-2311.5346,-2311.5346,اصلی,39.97,7.01,0.44,0.06,31.2843,-15.2999,0.9985,717,3006.0094,-130.04,0.00,0.00,101,0,-22.8865,23.9072,39.5614,-78.0985,15.84,18.2206,-30.6243,15,287.49,88.09,-0.957,-1.406,-2311.53,0,-0.119
aggregated,Best_5m_ETHUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_XRPUSDT-1m,32862,13107,19755,39.88,-17.80,6,-2969.31,1.063,-0.093,-2961.0172,-2961.0172,اصلی,39.88,6.51,0.46,0.04,31.2843,-15.2999,0.9725,775,3298.4123,-111.39,0.00,0.00,101,0,-29.3170,23.0633,49.9055,-81.5215,6.93,21.9213,-33.1326,27,325.37,56.34,-1.271,-1.583,-2961.02,0,-0.119
aggregated,Best_15m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,16724,5711,11013,34.15,-14.99,30,-1361.71,1.462,-0.075,-1328.0389,-1328.0389,اصلی,34.15,7.78,0.52,0.00,29.1854,-0.5207,1.0607,489,2252.5523,-169.61,0.00,0.00,101,0,-13.1489,13.8352,26.0833,-46.3891,12.87,10.2962,-16.6124,40,165.58,39.15,-0.950,-1.212,-1350.11,0,-0.117
aggregated,Best_30m_BTCUSDT-1m,BTCUSDT-1m,3616,1232,2384,34.07,-7.50,15,-252.76,1.523,-0.064,-252.4602,-252.4602,اصلی,34.07,7.49,0.75,0.00,15.1924,-0.4998,1.0947,120,559.8735,-221.77,0.00,0.00,101,0,-2.4996,7.8209,41.6696,-18.2932,25.74,6.8119,-5.7276,9,35.80,7.35,-0.320,-0.657,-252.46,0,-0.119
aggregated,Best_30m_BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,11545,3597,7948,31.16,-14.99,30,-860.81,1.731,-0.063,-857.3241,-857.3241,اصلی,31.16,7.89,0.81,0.00,27.0864,-0.4998,1.1778,379,1871.7770,-218.33,0.00,0.00,101,0,-8.4884,14.8315,32.3540,-41.3459,30.69,9.4305,-16.4239,7,114.31,22.82,-0.572,-0.936,-857.32,0,-0.119
aggregated,Best_30m_ETHUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_XRPUSDT-1m,5936,1837,4099,30.95,-15.49,31,-447.03,1.789,-0.055,-405.1434,-405.1434,اصلی,30.95,7.97,0.88,0.00,27.0864,-0.4998,1.2332,194,999.2746,-246.65,0.00,0.00,101,0,-4.0113,9.6271,23.1062,-22.0129,27.72,8.0589,-8.6410,9,58.77,11.68,-0.417,-0.707,-442.14,0,-0.109
aggregated,Best_30m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,7660,2471,5189,32.26,-15.49,31,-762.98,1.516,-0.083,-715.4330,-715.4330,اصلی,32.26,7.13,0.68,0.00,27.0864,-0.5490,1.1220,215,1067.1010,-149.15,0.00,0.00,101,0,-7.0835,10.9379,25.8140,-33.2791,22.77,8.3652,-11.6389,11,75.84,17.62,-0.648,-1.006,-755.20,0,-0.113
aggregated,Best_30m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,7929,2365,5564,29.83,-15.49,31,-633.27,1.840,-0.063,-604.8640,-604.8640,اصلی,29.83,8.07,0.83,0.00,27.0864,-0.4998,1.2139,259,1311.9035,-216.89,0.00,0.00,101,0,-5.9888,11.7439,31.4793,-31.2791,29.70,8.1224,-11.9512,9,78.50,20.02,-0.510,-0.822,-627.58,0,-0.115
aggregated,Best_30m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,9653,2999,6654,31.07,-15.49,31,-939.12,1.604,-0.084,-915.1536,-915.1536,اصلی,31.07,7.39,0.68,0.00,27.0864,-0.5490,1.1287,280,1379.7299,-150.76,0.00,0.00,101,0,-9.0609,12.9054,24.0140,-43.9750,22.77,8.1916,-14.1482,12,95.57,29.70,-0.702,-0.960,-933.13,0,-0.117
aggregated,Best_15m_ETHUSDT-1m_PAXGUSDT-1m,ETHUSDT-1m_PAXGUSDT-1m,8913,3321,5592,37.26,-8.50,17,-794.50,1.223,-0.087,-757.6386,-757.6386,اصلی,37.26,6.98,0.39,0.00,29.1854,-0.5881,0.9787,239,1042.1467,-137.55,0.00,0.00,101,0,-7.5014,10.5548,26.0833,-39.8480,23.76,5.8310,-11.6569,16,88.25,23.43,-0.711,-0.956,-786.61,0,-0.114
aggregated,Best_5m_SOLUSDT-1m,SOLUSDT-1m,12555,4863,7692,38.73,-18.19,10,-1180.75,1.148,-0.085,-1085.2283,-1085.2283,اصلی,38.73,7.23,0.44,0.10,31.2843,-10.2019,1.0211,302,1234.8855,-113.79,0.00,0.00,70,0,-15.5033,17.4268,47.2652,-46.7876,14.29,16.1475,-20.7784,27,179.36,20.68,-0.890,-1.423,-1178.65,0,-0.158
aggregated,Best_5m_BTCUSDT-1m_ETHUSDT-1m,BTCUSDT-1m_ETHUSDT-1m,31533,12970,18563,41.13,-27.54,12,-2534.57,1.046,-0.084,-2527.1819,-2527.1819,اصلی,41.13,6.64,0.41,0.03,31.2843,-15.2999,0.9500,756,3179.7790,-125.82,0.00,0.00,101,0,-25.0216,27.2076,61.7216,-95.0003,11.88,25.6587,-31.8549,27,312.21,61.29,-0.920,-1.247,-2527.18,0,-0.119
aggregated,Best_5m_BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,43988,17454,26534,39.68,-19.23,4,-4121.91,1.057,-0.097,-4120.8147,-4120.8147,اصلی,39.68,6.56,0.43,0.06,31.2843,-13.0280,0.9644,1003,4170.8291,-101.21,0.00,0.00,101,0,-40.8001,27.4782,26.9714,-120.6876,9.90,11.1364,-46.5075,18,435.52,109.98,-1.485,-1.824,-4120.81,0,-0.119
aggregated,Best_5m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,36410,14855,21555,40.80,-27.54,12,-3593.27,0.976,-0.108,-3583.4149,-3583.4149,اصلی,40.80,6.17,0.35,0.03,31.2843,-15.2999,0.9079,801,3227.8569,-90.08,0.00,0.00,101,0,-35.4794,29.0126,55.4147,-115.1369,6.93,28.6301,-40.2535,27,360.50,75.01,-1.223,-1.501,-3583.41,0,-0.119
aggregated,Best_5m_BTCUSDT-1m_PAXGUSDT-1m,BTCUSDT-1m_PAXGUSDT-1m,19929,8112,11817,40.70,-20.38,6,-2360.47,0.885,-0.140,-2357.1085,-2357.1085,اصلی,40.70,5.61,0.28,0.03,17.0914,-8.4459,0.8423,386,1456.7330,-61.80,0.00,0.00,101,0,-23.3377,18.0468,32.0429,-84.7212,3.96,17.0171,-25.0018,32,197.32,53.45,-1.293,-1.435,-2357.11,0,-0.119
aggregated,Best_5m_BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,44088,17833,26255,40.45,-27.54,12,-3619.90,1.074,-0.084,-3612.4102,-3612.4102,اصلی,40.45,6.81,0.42,0.05,31.2843,-15.2999,0.9708,1058,4414.6646,-122.21,0.00,0.00,101,0,-35.7664,32.3959,68.2537,-103.4572,10.89,28.3855,-43.6072,27,436.51,98.64,-1.104,-1.509,-3612.41,0,-0.119
aggregated,Best_5m_ETHUSDT-1m_PAXGUSDT-1m,ETHUSDT-1m_PAXGUSDT-1m,21358,8628,12730,40.40,-20.88,7,-2293.20,0.956,-0.118,-2282.5393,-2282.5393,اصلی,40.40,5.99,0.34,0.03,31.2843,-15.2999,0.9027,460,1819.2017,-79.70,0.00,0.00,101,0,-22.5994,20.3313,30.7748,-78.6676,11.88,13.0379,-27.4044,25,211.47,52.03,-1.112,-1.414,-2282.54,0,-0.119
aggregated,Best_5m_BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,47914,19334,28580,40.35,-27.54,12,-4269.39,1.044,-0.093,-4261.8928,-4261.8928,اصلی,40.35,6.48,0.43,0.04,31.2843,-15.2999,0.9548,1116,4707.0674,-110.45,0.00,0.00,101,0,-42.1970,32.3775,41.9514,-128.0900,7.92,23.2206,-47.8243,27,474.40,79.73,-1.303,-1.575,-4261.89,0,-0.119
aggregated,Best_1h_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,2986,812,2174,27.19,-16.93,34,-400.29,1.685,-0.117,-399.3129,-399.3129,اصلی,27.19,6.56,0.64,0.00,31.2843,-0.4998,1.1406,84,413.2814,-103.50,0.00,0.00,97,0,-4.1166,7.4531,38.4686,-18.5935,18.56,6.2705,-6.4833,22,30.78,13.12,-0.552,-0.967,-399.31,0,-0.124
aggregated,Best_5m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,48965,19718,29247,40.27,-27.54,12,-4678.60,1.018,-0.102,-4668.6431,-4668.6431,اصلی,40.27,6.44,0.37,0.04,31.2843,-15.2999,0.9382,1103,4462.7424,-95.59,0.00,0.00,101,0,-46.2242,34.7304,61.9468,-140.9573,5.94,34.4456,-51.3191,27,484.80,130.62,-1.331,-1.605,-4668.64,0,-0.119
aggregated,Best_5m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,52791,21219,31572,40.19,-27.54,12,-5328.09,0.995,-0.109,-5318.1257,-5318.1257,اصلی,40.19,6.17,0.39,0.04,31.2843,-15.2999,0.9256,1161,4755.1452,-89.41,0.00,0.00,101,0,-52.6547,34.5233,41.9514,-142.5974,5.94,19.1038,-57.1868,27,522.68,96.74,-1.525,-1.748,-5318.13,0,-0.119
aggregated,Best_15m_BTCUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_XRPUSDT-1m,12752,4456,8296,34.94,-8.50,17,-1202.31,1.319,-0.092,-1202.2109,-1202.2109,اصلی,34.94,6.85,0.56,0.00,18.9905,-0.5207,1.0289,321,1561.9798,-129.93,0.00,0.00,101,0,-11.9031,13.0461,25.9806,-39.8131,19.80,7.9423,-16.8032,13,126.26,18.71,-0.912,-1.358,-1202.21,0,-0.119
aggregated,Best_15m_PAXGUSDT-1m_XRPUSDT-1m,PAXGUSDT-1m_XRPUSDT-1m,8891,3061,5830,34.43,-8.50,17,-1208.91,1.108,-0.158,-1206.2235,-1206.2235,اصلی,34.43,5.95,0.34,0.00,15.1924,-0.5881,0.8602,181,789.8429,-65.48,0.00,0.00,97,0,-12.4353,10.7438,14.4897,-44.1024,12.37,4.9988,-14.8966,18,91.66,23.17,-1.157,-1.398,-1206.22,0,-0.124
aggregated,Best_30m_ETHUSDT-1m,ETHUSDT-1m,2957,964,1993,32.60,-8.50,17,-95.79,1.947,-0.015,-58.0564,-58.0564,اصلی,32.60,9.30,0.98,0.00,27.0864,-0.4998,1.3092,114,575.0502,-990.50,0.00,0.00,101,0,-0.5748,6.2938,20.7884,-12.1953,38.61,5.5212,-4.4094,12,29.28,5.85,-0.091,-0.178,-88.60,0,-0.078
aggregated,Best_1h_BTCUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_XRPUSDT-1m,2995,874,2121,29.18,-8.50,17,-217.67,1.962,-0.051,-202.2579,-202.2579,اصلی,29.18,7.88,0.93,0.00,31.2843,-0.4998,1.3162,108,560.6726,-277.21,0.00,0.00,101,0,-2.0026,8.3225,38.1794,-15.2947,31.68,7.1794,-6.2609,8,29.65,6.78,-0.241,-0.594,-213.87,0,-0.112
aggregated,Best_1h_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,3382,977,2405,28.89,-8.50,17,-389.63,1.802,-0.069,-318.9517,-318.9517,اصلی,28.89,6.71,0.83,0.00,31.2843,-0.4998,1.3745,101,566.4025,-177.58,0.00,0.00,101,0,-3.1579,9.4185,50.5952,-15.1661,23.76,8.9703,-6.9382,20,33.49,10.09,-0.335,-0.887,-384.83,0,-0.098
aggregated,Best_5m_BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,60469,24197,36272,40.02,-27.54,12,-5354.71,1.065,-0.091,-5347.1210,-5347.1210,اصلی,40.02,6.64,0.43,0.05,31.2843,-15.2999,0.9689,1418,5941.9529,-111.12,0.00,0.00,101,0,-52.9418,37.2324,41.9514,-142.0878,6.93,29.9551,-59.1150,27,598.70,121.94,-1.422,-1.737,-5347.12,0,-0.119
aggregated,Best_5m_BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,32484,12975,19509,39.94,-25.42,8,-3445.80,0.984,-0.116,-3442.3368,-3442.3368,اصلی,39.94,6.24,0.34,0.06,31.2843,-10.2019,0.9157,688,2691.6185,-78.19,0.00,0.00,101,0,-34.0825,25.4674,38.5750,-119.0507,4.95,19.4221,-36.8692,27,321.62,120.79,-1.338,-1.505,-3442.34,0,-0.119
aggregated,Best_5m_BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,36310,14476,21834,39.87,-20.38,6,-4095.28,0.954,-0.125,-4091.8194,-4091.8194,اصلی,39.87,5.87,0.37,0.04,24.9874,-13.0280,0.8991,746,2984.0214,-72.93,0.00,0.00,101,0,-40.5131,24.3087,11.1766,-121.1971,5.94,6.4263,-43.4777,28,359.50,77.49,-1.667,-1.852,-4091.82,0,-0.119
aggregated,Best_5m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,65346,26082,39264,39.91,-27.54,12,-6413.41,1.024,-0.104,-6403.3540,-6403.3540,اصلی,39.91,6.38,0.40,0.05,31.2843,-15.2999,0.9447,1463,5990.0308,-93.55,0.00,0.00,101,0,-63.3995,39.8125,41.9514,-180.3142,5.94,22.0637,-68.7972,27,646.99,152.75,-1.592,-1.845,-6403.35,0,-0.119
aggregated,Best_5m_PAXGUSDT-1m,PAXGUSDT-1m,4877,1885,2992,38.65,-19.38,4,-1060.90,0.505,-0.394,-1056.2329,-1056.2329,اصلی,38.65,3.12,0.00,0.04,4.8975,-6.0858,0.5498,45,48.0778,-4.55,0.00,0.00,70,0,-15.0890,11.0555,7.4357,-52.4465,4.29,2.7521,-15.8879,36,69.67,27.67,-1.365,-1.425,-1056.23,0,-0.171
