📊 خلاصه پوشه: Best_15m
تاریخ تولید,2026-07-21 09:27:26

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت,درصد سود > ۰%,درصد سود > ۱%,درصد سود > ۵%,درصد ضرر > ۵%,بیشترین سود یک معامله(%),بیشترین ضرر یک معامله(%),انحراف معیار سود,تعداد اوت‌لایرها,مجموع سود اوت‌لایرها(%),درصد سود از اوت‌لایرها,سهم بهترین معامله از بازده کل(%),سهم ۳ معامله برتر از بازده کل(%),بازه بکتست (ماه),ماه‌های بدون معامله,میانگین سود ماهانه,انحراف معیار سود ماهانه,بهترین ماه(%),بدترین ماه(%),درصد ماه‌های سودده,میانگین سود در ماه‌های سودده,میانگین ضرر در ماه‌های ضررده,بیشترین ضرر متوالی ماهانه,تعداد معاملات در ماه (میانگین),انحراف معیار تعداد معاملات,نسبت شارپ (ماهانه),نسبت سورتینو,حداکثر افت سرمایه(%),مدت بازگشت از افت (ماه),نسبت کالمار
11,BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,17038,5853,11185,34.35,-1483.5687,-1483.5687,-11.00,22,-1483.67,1.402,-0.082,⚠️ منفی,34.35,7.32,0.55,0.00,22.9885,-0.5207,1.0574,452,2181.4447,-147.04,0.00,0.00,101,0,-14.6888,14.6730,29.6083,-45.0138,16.83,8.6375,-19.4096,22,168.69,37.70,-1.001,-1.395,-1483.57,0,-0.119
12,ETHUSDT-1m_XRPUSDT-1m,12438,4314,8124,34.68,-1046.6811,-1046.6811,-12.00,24,-1080.35,1.396,-0.081,⚠️ منفی,34.68,7.45,0.52,0.00,29.1854,-0.5207,1.0329,358,1633.0874,-156.03,0.00,0.00,101,0,-10.3632,12.4272,26.3804,-37.7165,17.82,8.7013,-14.4976,12,123.15,19.40,-0.834,-1.167,-1068.76,0,-0.116
13,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,21665,7777,13888,35.90,-1959.8496,-1959.8496,-12.49,25,-1966.83,1.278,-0.090,⚠️ منفی,35.90,6.91,0.49,0.00,29.1854,-0.5881,1.0086,560,2604.1265,-132.87,0.00,0.00,101,0,-19.4045,17.9812,25.0784,-65.2996,12.87,10.2265,-23.7818,24,214.50,35.13,-1.079,-1.321,-1959.85,0,-0.119
14,BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,18982,6743,12239,35.52,-1501.2591,-1501.2591,-12.49,25,-1506.05,1.368,-0.075,⚠️ منفی,35.52,7.29,0.56,0.00,29.1854,-0.5207,1.0544,529,2504.6754,-166.84,0.00,0.00,101,0,-14.8640,16.2510,28.6753,-46.5333,15.84,10.9388,-19.7209,18,187.94,25.47,-0.915,-1.207,-1501.26,0,-0.119
15,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,25951,9174,16777,35.35,-2241.2074,-2241.2074,-12.50,25,-2248.19,1.337,-0.084,⚠️ منفی,35.35,7.21,0.50,0.00,29.1854,-0.5881,1.0310,691,3223.5914,-143.83,0.00,0.00,101,0,-22.1902,19.3308,25.0784,-70.5003,10.89,11.3887,-26.2943,27,256.94,57.33,-1.148,-1.386,-2241.21,0,-0.119
16,ETHUSDT-1m_SOLUSDT-1m,10516,3684,6832,35.03,-580.4059,-580.4059,-12.50,25,-614.18,1.539,-0.049,⚠️ منفی,35.03,8.41,0.54,0.00,29.1854,-0.5122,1.1178,339,1562.1605,-269.15,0.00,0.00,101,0,-5.7466,10.6600,26.0833,-28.6932,30.69,6.0335,-10.9635,16,104.12,30.93,-0.539,-0.743,-609.37,0,-0.113
17,PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,13177,4458,8719,33.83,-1487.5813,-1487.5813,-12.50,25,-1490.27,1.283,-0.118,⚠️ منفی,33.83,6.85,0.39,0.00,22.9885,-0.5881,0.9598,312,1409.3079,-94.74,0.00,0.00,97,0,-15.3359,12.3281,14.4897,-49.3031,6.19,8.9758,-16.9389,40,135.85,48.92,-1.244,-1.406,-1487.58,0,-0.124
18,SOLUSDT-1m,4286,1397,2889,32.59,-281.3578,-281.3578,-13.49,27,-326.37,1.664,-0.058,⚠️ منفی,32.59,8.73,0.51,0.00,22.9885,-0.5122,1.1376,131,619.4649,-220.17,0.00,0.00,70,0,-4.0194,8.0512,24.0856,-17.0956,25.71,6.8755,-7.7907,10,61.23,9.15,-0.499,-0.959,-323.77,0,-0.149
19,SOLUSDT-1m_XRPUSDT-1m,10494,3424,7070,32.63,-1028.9907,-1028.9907,-13.99,28,-1028.99,1.462,-0.095,⚠️ منفی,32.63,7.54,0.50,0.00,22.9885,-0.5207,1.0337,281,1309.8567,-127.30,0.00,0.00,97,0,-10.6082,10.1144,16.1475,-33.6927,13.40,7.6235,-13.4297,22,108.19,31.53,-1.049,-1.438,-1028.99,0,-0.124
20,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,23268,8140,15128,34.98,-1782.6169,-1782.6169,-14.49,29,-1787.40,1.419,-0.072,⚠️ منفی,34.98,7.56,0.55,0.00,29.1854,-0.5207,1.0702,660,3124.1403,-175.26,0.00,0.00,101,0,-17.6497,17.6414,32.4038,-56.0877,13.86,11.3116,-22.3101,22,230.38,41.28,-1.000,-1.283,-1782.62,0,-0.119
21,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,17060,6113,10947,35.83,-1034.9839,-1034.9839,-14.99,30,-1039.77,1.451,-0.055,⚠️ منفی,35.83,7.86,0.58,0.00,29.1854,-0.5122,1.1088,510,2433.7485,-235.15,0.00,0.00,101,0,-10.2474,14.7464,31.2454,-42.6893,28.71,8.0289,-17.6086,16,168.91,33.91,-0.695,-1.093,-1034.98,0,-0.119
22,ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,16724,5711,11013,34.15,-1328.0389,-1328.0389,-14.99,30,-1361.71,1.462,-0.075,⚠️ منفی,34.15,7.78,0.52,0.00,29.1854,-0.5207,1.0607,489,2252.5523,-169.61,0.00,0.00,101,0,-13.1489,13.8352,26.0833,-46.3891,12.87,10.2962,-16.6124,40,165.58,39.15,-0.950,-1.212,-1350.11,0,-0.117
23,ETHUSDT-1m_PAXGUSDT-1m,8913,3321,5592,37.26,-757.6386,-757.6386,-8.50,17,-794.50,1.223,-0.087,⚠️ منفی,37.26,6.98,0.39,0.00,29.1854,-0.5881,0.9787,239,1042.1467,-137.55,0.00,0.00,101,0,-7.5014,10.5548,26.0833,-39.8480,23.76,5.8310,-11.6569,16,88.25,23.43,-0.711,-0.956,-786.61,0,-0.114
24,BTCUSDT-1m_XRPUSDT-1m,12752,4456,8296,34.94,-1202.2109,-1202.2109,-8.50,17,-1202.31,1.319,-0.092,⚠️ منفی,34.94,6.85,0.56,0.00,18.9905,-0.5207,1.0289,321,1561.9798,-129.93,0.00,0.00,101,0,-11.9031,13.0461,25.9806,-39.8131,19.80,7.9423,-16.8032,13,126.26,18.71,-0.912,-1.358,-1202.21,0,-0.119
25,PAXGUSDT-1m_XRPUSDT-1m,8891,3061,5830,34.43,-1206.2235,-1206.2235,-8.50,17,-1208.91,1.108,-0.158,⚠️ منفی,34.43,5.95,0.34,0.00,15.1924,-0.5881,0.8602,181,789.8429,-65.48,0.00,0.00,97,0,-12.4353,10.7438,14.4897,-44.1024,12.37,4.9988,-14.8966,18,91.66,23.17,-1.157,-1.398,-1206.22,0,-0.124
26,BTCUSDT-1m_PAXGUSDT-1m,9227,3463,5764,37.53,-913.1685,-913.1685,-9.50,19,-915.46,1.131,-0.102,⚠️ منفی,37.53,6.17,0.46,0.00,18.9905,-0.5881,0.9748,202,971.0391,-106.34,0.00,0.00,101,0,-9.0413,11.6167,27.0829,-44.3537,19.80,7.0542,-13.0155,29,91.36,22.89,-0.778,-1.050,-913.17,0,-0.119
27,XRPUSDT-1m,6208,2027,4181,32.65,-747.6329,-747.6329,-9.00,18,-747.63,1.322,-0.126,⚠️ منفی,32.65,6.72,0.48,0.00,15.1924,-0.5207,0.9548,150,690.3918,-92.34,0.00,0.00,97,0,-7.7076,8.2474,17.0888,-24.3167,13.40,7.7853,-10.1053,18,64.00,8.86,-0.935,-1.400,-747.63,0,-0.124
28,PAXGUSDT-1m_SOLUSDT-1m,6969,2431,4538,34.88,-739.9483,-739.9483,-9.00,18,-751.93,1.251,-0.110,⚠️ منفی,34.88,6.97,0.32,0.00,22.9885,-0.5881,0.9642,162,718.9161,-97.16,0.00,0.00,70,0,-10.5707,10.1115,12.5010,-38.7642,14.29,5.9080,-13.3171,19,99.56,14.87,-1.045,-1.320,-747.13,0,-0.170
29,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,13199,4718,8481,35.75,-1038.9964,-1038.9964,-9.50,19,-1075.36,1.354,-0.076,⚠️ منفی,35.75,7.55,0.43,0.00,29.1854,-0.5881,1.0329,370,1661.6117,-159.92,0.00,0.00,101,0,-10.2871,12.8398,26.0833,-46.1492,20.79,6.5069,-14.6955,20,130.68,48.92,-0.801,-1.001,-1067.97,0,-0.116
30,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,13513,4860,8653,35.97,-1194.5263,-1194.5263,-9.62,20,-1196.82,1.285,-0.086,⚠️ منفی,35.97,6.98,0.47,0.00,22.9885,-0.5881,1.0293,333,1590.5040,-133.15,0.00,0.00,101,0,-11.8270,14.0187,27.0829,-50.6549,19.80,8.0507,-16.7351,19,133.79,47.79,-0.844,-1.135,-1194.53,0,-0.119
31,BTCUSDT-1m,6544,2429,4115,37.12,-454.5780,-454.5780,-10.00,20,-454.68,1.317,-0.063,⚠️ منفی,37.12,6.98,0.64,0.00,18.9905,-0.4998,1.0941,171,871.5880,-191.74,0.00,0.00,101,0,-4.5008,9.3079,27.0829,-19.8938,26.73,7.5315,-8.8909,12,64.79,11.78,-0.484,-0.870,-454.58,0,-0.119

ترکیب‌های با بازدهی مثبت,0/31
ترکیب‌های با بازدهی ≥۱٪,0/31
میانگین بازدهی ویژه,-1156.7522%
