📊 خلاصه پوشه: Best_15m
تاریخ تولید,2026-07-21 09:27:26

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت,درصد سود > ۰%,درصد سود > ۱%,درصد سود > ۵%,درصد ضرر > ۵%,بیشترین سود یک معامله(%),بیشترین ضرر یک معامله(%),انحراف معیار سود,تعداد اوت‌لایرها,مجموع سود اوت‌لایرها(%),درصد سود از اوت‌لایرها,سهم بهترین معامله از بازده کل(%),سهم ۳ معامله برتر از بازده کل(%),بازه بکتست (ماه),ماه‌های بدون معامله,میانگین سود ماهانه,انحراف معیار سود ماهانه,بهترین ماه(%),بدترین ماه(%),درصد ماه‌های سودده,میانگین سود در ماه‌های سودده,میانگین ضرر در ماه‌های ضررده,بیشترین ضرر متوالی ماهانه,تعداد معاملات در ماه (میانگین),انحراف معیار تعداد معاملات,نسبت شارپ (ماهانه),نسبت سورتینو,حداکثر افت سرمایه(%),مدت بازگشت از افت (ماه),نسبت کالمار
1,PAXGUSDT-1m,2683,1034,1649,38.54,-458.5905,-458.5905,-11.92,25,-471.90,0.683,-0.293,⚠️ منفی,38.54,4.17,0.00,0.00,4.8975,-0.5881,0.5840,31,99.4511,-21.69,0.00,0.00,70,0,-6.5513,7.0096,9.8820,-32.4630,17.14,3.4358,-8.6176,30,38.33,12.43,-0.935,-1.154,-467.90,0,-0.168
2,ETHUSDT-1m,6230,2287,3943,36.71,-299.0481,-299.0481,-11.00,22,-339.22,1.462,-0.043,⚠️ منفی,36.71,8.19,0.56,0.00,29.1854,-0.4998,1.1041,208,942.6956,-315.23,0.00,0.00,101,0,-2.9609,7.9630,26.0833,-21.0589,34.65,5.5230,-7.4599,11,61.68,10.45,-0.372,-0.584,-328.02,0,-0.108
3,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,15457,5750,9707,37.20,-1212.2166,-1212.2166,-11.50,23,-1219.20,1.263,-0.076,⚠️ منفی,37.20,6.98,0.50,0.00,29.1854,-0.5881,1.0291,410,1913.7347,-157.87,0.00,0.00,101,0,-12.0021,14.5006,26.1807,-51.7387,22.77,7.5043,-17.7541,18,153.04,28.38,-0.828,-1.146,-1212.22,0,-0.119
4,BTCUSDT-1m_ETHUSDT-1m,12774,4716,8058,36.92,-753.6261,-753.6261,-11.50,23,-758.41,1.388,-0.054,⚠️ منفی,36.92,7.57,0.60,0.00,29.1854,-0.4998,1.0990,379,1814.2836,-240.74,0.00,0.00,101,0,-7.4616,12.5334,29.2703,-35.1902,27.72,8.3502,-13.5265,11,126.48,20.06,-0.595,-0.937,-753.63,0,-0.119
5,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,19407,6745,12662,34.76,-1786.6294,-1786.6294,-10.50,21,-1822.99,1.344,-0.091,⚠️ منفی,34.76,7.28,0.45,0.00,29.1854,-0.5881,1.0088,520,2352.0035,-131.64,0.00,0.00,101,0,-17.6894,15.7698,26.0833,-57.3423,8.91,10.3536,-20.4327,40,192.15,56.14,-1.122,-1.305,-1808.71,0,-0.117
6,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,19721,6887,12834,34.92,-1942.1593,-1942.1593,-10.61,22,-1944.45,1.295,-0.098,⚠️ منفی,34.92,6.90,0.48,0.00,22.9885,-0.5881,1.0065,483,2280.8958,-117.44,0.00,0.00,101,0,-19.2293,16.5194,25.9806,-64.7995,12.87,8.3119,-23.2979,22,195.26,54.65,-1.164,-1.461,-1942.16,0,-0.119
7,BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,15435,5490,9945,35.57,-1660.8015,-1660.8015,-11.00,22,-1663.09,1.201,-0.111,⚠️ منفی,35.57,6.39,0.47,0.00,18.9905,-0.5881,0.9668,352,1661.4309,-100.04,0.00,0.00,101,0,-16.4436,14.9853,25.9806,-59.5988,15.84,7.1405,-20.8829,13,152.82,30.31,-1.097,-1.426,-1660.80,0,-0.119
8,BTCUSDT-1m_SOLUSDT-1m,10830,3826,7004,35.33,-735.9358,-735.9358,-11.00,22,-736.04,1.444,-0.061,⚠️ منفی,35.33,7.67,0.59,0.00,22.9885,-0.5122,1.1115,302,1491.0529,-202.61,0.00,0.00,101,0,-7.2865,12.0407,28.4498,-28.5005,22.77,10.3596,-12.4898,16,107.23,30.03,-0.605,-1.037,-735.94,0,-0.119
9,ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,15121,5348,9773,35.37,-1505.2716,-1505.2716,-11.00,22,-1541.63,1.260,-0.103,⚠️ منفی,35.37,6.87,0.43,0.00,29.1854,-0.5881,0.9691,389,1732.5385,-115.10,0.00,0.00,101,0,-14.9037,14.4387,26.0833,-49.8032,12.87,8.5098,-18.3625,13,149.71,31.62,-1.032,-1.261,-1527.35,0,-0.117
10,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,19743,7147,12596,36.20,-1493.5744,-1493.5744,-11.50,23,-1500.55,1.342,-0.072,⚠️ منفی,36.20,7.36,0.50,0.00,29.1854,-0.5881,1.0536,541,2533.1996,-169.61,0.00,0.00,101,0,-14.7879,16.5490,26.1807,-58.0399,20.79,8.5216,-20.9066,18,195.48,50.49,-0.894,-1.211,-1493.57,0,-0.119
