Expected Impact / Date,Actual,Forecast,Previous
"Nov 17, 2015",0.2%,0.2%,-0.2%
"Oct 15, 2015",-0.2%,-0.2%,-0.1%
"Sep 16, 2015",-0.1%,0.0%,0.1%
"Aug 19, 2015",0.1%,0.2%,0.3%
"Jul 17, 2015",0.3%,0.3%,0.4%
"Jun 18, 2015",0.4%,0.5%,0.1%
"May 22, 2015",0.1%,0.1%,0.2%
"Apr 17, 2015",0.2%,0.2%,0.2%
"Mar 24, 2015",0.2%,0.2%,-0.7%
"Feb 26, 2015",-0.7%,-0.6%,-0.4%
"Jan 16, 2015",-0.4%,-0.3%,-0.3%
"Dec 17, 2014",-0.3%,-0.1%,0.0%
"Nov 20, 2014",0.0%,-0.1%,0.1%
"Oct 22, 2014",0.1%,0.0%,-0.2%
"Sep 17, 2014",-0.2%,0.1%,0.1%
"Aug 19, 2014",0.1%,0.1%,0.3%
"Jul 22, 2014",0.3%,0.3%,0.4%
"Jun 17, 2014",0.4%,0.2%,0.3%
"May 15, 2014",0.3%,0.3%,0.2%
"Apr 15, 2014",0.2%,0.1%,0.1%
"Mar 18, 2014",0.1%,0.1%,0.1%
"Feb 20, 2014",0.1%,0.1%,0.3%
"Jan 16, 2014",0.3%,0.3%,0.0%
"Dec 17, 2013",0.0%,0.1%,-0.1%
"Nov 20, 2013",-0.1%,0.0%,0.2%
"Oct 30, 2013",0.2%,0.2%,0.1%
"Sep 17, 2013",0.1%,0.2%,0.2%
"Aug 15, 2013",0.2%,0.2%,0.5%
"Jul 16, 2013",0.5%,0.3%,0.1%
"Jun 18, 2013",0.1%,0.1%,-0.4%
"May 16, 2013",-0.4%,-0.3%,-0.2%
