Expected Impact / Date,Actual,Forecast,Previous
"Dec 13, 2012",-0.8%,-0.5%,-0.2%
"Nov 14, 2012",-0.2%,0.2%,1.1%
"Oct 12, 2012",1.1%,0.8%,1.7%
"Sep 13, 2012",1.7%,1.1%,0.3%
"Aug 14, 2012",0.3%,0.3%,0.1%
"Jul 13, 2012",0.1%,-0.5%,-1.0%
"Jun 13, 2012",-1.0%,-0.6%,-0.2%
"May 11, 2012",-0.2%,0.0%,0.0%
"Apr 12, 2012",0.0%,0.3%,0.4%
"Mar 15, 2012",0.4%,0.5%,0.1%
"Feb 16, 2012",0.1%,0.3%,-0.1%
"Jan 18, 2012",-0.1%,0.1%,0.3%
"Dec 15, 2011",0.3%,0.3%,-0.3%
"Nov 15, 2011",-0.3%,-0.1%,0.8%
"Oct 18, 2011",0.8%,0.2%,0.0%
"Sep 14, 2011",0.0%,-0.1%,0.2%
"Aug 17, 2011",0.2%,0.0%,-0.4%
"Jul 14, 2011",-0.4%,-0.2%,0.2%
"Jun 14, 2011",0.2%,0.1%,0.8%
"May 12, 2011",0.8%,0.6%,0.7%
"Apr 14, 2011",0.7%,1.1%,1.6%
"Mar 16, 2011",1.6%,0.7%,0.8%
"Feb 16, 2011",0.8%,0.9%,1.1%
"Jan 13, 2011",1.1%,0.8%,0.8%
"Dec 14, 2010",0.8%,0.6%,0.4%
"Nov 16, 2010",0.4%,0.7%,0.4%
"Oct 14, 2010",0.4%,0.2%,0.4%
"Sep 16, 2010",0.4%,0.3%,0.2%
"Aug 17, 2010",0.2%,0.2%,-0.5%
"Jul 15, 2010",-0.5%,-0.2%,-0.3%
"Jun 16, 2010",-0.3%,-0.5%,-0.1%
"May 18, 2010",-0.1%,0.1%,0.7%
"Apr 22, 2010",0.7%,0.4%,-0.6%
"Mar 17, 2010",-0.6%,-0.2%,1.4%
"Feb 18, 2010",1.4%,0.8%,0.2%
"Jan 20, 2010",0.2%,0.1%,1.8%
"Dec 15, 2009",1.8%,0.8%,0.3%
"Nov 17, 2009",0.3%,0.6%,-0.6%
"Oct 20, 2009",-0.6%,0.1%,1.7%
"Sep 15, 2009",1.7%,0.9%,-0.9%
"Aug 18, 2009",-0.9%,-0.2%,1.8%
"Jul 14, 2009",1.8%,0.9%,0.2%
"Jun 16, 2009",0.2%,0.6%,0.3%
"May 14, 2009",0.3%,0.2%,-1.2%
"Apr 14, 2009",-1.2%,0.0%,0.1%
"Mar 17, 2009",0.1%,0.3%,0.8%
"Feb 19, 2009",0.8%,0.2%,-1.9%
"Jan 15, 2009",-1.9%,-2.0%,-2.2%
"Dec 12, 2008",-2.2%,-2.0%,-2.8%
"Nov 18, 2008",-2.8%,-1.9%,-0.4%
"Oct 15, 2008",-0.4%,-0.4%,-0.9%
"Sep 12, 2008",-0.9%,-0.5%,1.2%
"Aug 19, 2008",1.2%,0.6%,1.8%
"Jul 15, 2008",1.8%,1.3%,1.4%
"Jun 17, 2008",1.4%,1.0%,0.2%
"May 20, 2008",0.2%,0.4%,1.1%
"Apr 15, 2008",1.1%,0.6%,0.3%
"Mar 18, 2008",0.3%,0.3%,1.0%
"Feb 26, 2008",1.0%,0.4%,-0.1%
"Jan 15, 2008",-0.1%,0.2%,3.2%
"Dec 13, 2007",3.2%,1.6%,0.1%
"Nov 14, 2007",0.1%,0.3%,1.1%
"Oct 12, 2007",1.1%,0.5%,-1.4%
"Sep 18, 2007",-1.4%,-0.2%,0.6%
"Aug 14, 2007",0.6%,0.1%,-0.2%
"Jul 17, 2007",-0.2%,0.2%,0.9%
"Jun 14, 2007",0.9%,0.6%,0.7%
"May 11, 2007",0.7%,0.6%,1.0%
"Apr 13, 2007",1.0%,0.7%,1.3%
"Mar 15, 2007",1.3%,0.4%,-0.6%
"Feb 16, 2007",-0.6%,-0.6%,0.9%
"Jan 17, 2007",0.9%,0.6%,2.0%
