📊 خلاصه پوشه: Best_5m
تاریخ تولید,2026-07-21 09:27:26

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت,درصد سود > ۰%,درصد سود > ۱%,درصد سود > ۵%,درصد ضرر > ۵%,بیشترین سود یک معامله(%),بیشترین ضرر یک معامله(%),انحراف معیار سود,تعداد اوت‌لایرها,مجموع سود اوت‌لایرها(%),درصد سود از اوت‌لایرها,سهم بهترین معامله از بازده کل(%),سهم ۳ معامله برتر از بازده کل(%),بازه بکتست (ماه),ماه‌های بدون معامله,میانگین سود ماهانه,انحراف معیار سود ماهانه,بهترین ماه(%),بدترین ماه(%),درصد ماه‌های سودده,میانگین سود در ماه‌های سودده,میانگین ضرر در ماه‌های ضررده,بیشترین ضرر متوالی ماهانه,تعداد معاملات در ماه (میانگین),انحراف معیار تعداد معاملات,نسبت شارپ (ماهانه),نسبت سورتینو,حداکثر افت سرمایه(%),مدت بازگشت از افت (ماه),نسبت کالمار
1,XRPUSDT-1m,16381,6364,10017,38.85,-1734.7108,-1734.7108,-13.47,2,-1735.31,1.040,-0.110,⚠️ منفی,38.85,6.17,0.48,0.06,24.9874,-13.0280,0.9638,360,1527.2884,-88.04,0.00,0.00,97,0,-17.8836,13.1470,30.3748,-46.4419,7.22,15.0481,-20.4450,28,168.88,25.83,-1.360,-1.947,-1734.71,0,-0.124
2,BTCUSDT-1m_SOLUSDT-1m,27607,11090,16517,40.17,-2386.1039,-2386.1039,-15.83,2,-2387.10,1.067,-0.090,⚠️ منفی,40.17,6.79,0.40,0.06,31.2843,-10.2019,0.9647,643,2643.5407,-110.79,0.00,0.00,101,0,-23.6248,22.4319,44.8819,-80.8243,9.90,23.4245,-28.7950,27,273.34,86.84,-1.053,-1.442,-2386.10,0,-0.119
3,ETHUSDT-1m,16481,6743,9738,40.91,-1226.3063,-1226.3063,-16.58,4,-1234.50,1.085,-0.076,⚠️ منفی,40.91,6.84,0.44,0.02,31.2843,-15.2999,0.9809,415,1771.1239,-144.43,0.00,0.00,101,0,-12.1416,16.3952,39.1704,-48.4317,17.82,14.0679,-17.8256,12,163.18,29.20,-0.741,-1.166,-1226.31,0,-0.119
4,BTCUSDT-1m_XRPUSDT-1m,31433,12591,18842,40.06,-3035.5864,-3035.5864,-16.49,33,-3036.58,1.022,-0.103,⚠️ منفی,40.06,6.29,0.43,0.04,24.9874,-13.0280,0.9408,701,2935.9435,-96.72,0.00,0.00,101,0,-30.0553,21.4164,21.2719,-84.9318,10.89,9.1008,-34.8411,19,311.22,57.32,-1.403,-1.741,-3035.59,0,-0.119
5,BTCUSDT-1m,15052,6227,8825,41.37,-1300.8756,-1300.8756,-17.83,6,-1301.77,1.004,-0.094,⚠️ منفی,41.37,6.42,0.37,0.03,17.0914,-8.4459,0.9150,341,1408.6551,-108.29,0.00,0.00,101,0,-12.8800,15.3465,38.3499,-46.5685,14.85,11.2975,-17.0970,27,149.03,35.63,-0.839,-1.109,-1300.88,0,-0.119
6,ETHUSDT-1m_SOLUSDT-1m,29036,11606,17430,39.97,-2311.5346,-2311.5346,-17.80,6,-2319.83,1.111,-0.080,⚠️ منفی,39.97,7.01,0.44,0.06,31.2843,-15.2999,0.9985,717,3006.0094,-130.04,0.00,0.00,101,0,-22.8865,23.9072,39.5614,-78.0985,15.84,18.2206,-30.6243,15,287.49,88.09,-0.957,-1.406,-2311.53,0,-0.119
7,ETHUSDT-1m_XRPUSDT-1m,32862,13107,19755,39.88,-2961.0172,-2961.0172,-17.80,6,-2969.31,1.063,-0.093,⚠️ منفی,39.88,6.51,0.46,0.04,31.2843,-15.2999,0.9725,775,3298.4123,-111.39,0.00,0.00,101,0,-29.3170,23.0633,49.9055,-81.5215,6.93,21.9213,-33.1326,27,325.37,56.34,-1.271,-1.583,-2961.02,0,-0.119
8,SOLUSDT-1m,12555,4863,7692,38.73,-1085.2283,-1085.2283,-18.19,10,-1180.75,1.148,-0.085,⚠️ منفی,38.73,7.23,0.44,0.10,31.2843,-10.2019,1.0211,302,1234.8855,-113.79,0.00,0.00,70,0,-15.5033,17.4268,47.2652,-46.7876,14.29,16.1475,-20.7784,27,179.36,20.68,-0.890,-1.423,-1178.65,0,-0.158
9,BTCUSDT-1m_ETHUSDT-1m,31533,12970,18563,41.13,-2527.1819,-2527.1819,-27.54,12,-2534.57,1.046,-0.084,⚠️ منفی,41.13,6.64,0.41,0.03,31.2843,-15.2999,0.9500,756,3179.7790,-125.82,0.00,0.00,101,0,-25.0216,27.2076,61.7216,-95.0003,11.88,25.6587,-31.8549,27,312.21,61.29,-0.920,-1.247,-2527.18,0,-0.119
10,BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,43988,17454,26534,39.68,-4120.8147,-4120.8147,-19.23,4,-4121.91,1.057,-0.097,⚠️ منفی,39.68,6.56,0.43,0.06,31.2843,-13.0280,0.9644,1003,4170.8291,-101.21,0.00,0.00,101,0,-40.8001,27.4782,26.9714,-120.6876,9.90,11.1364,-46.5075,18,435.52,109.98,-1.485,-1.824,-4120.81,0,-0.119
11,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,36410,14855,21555,40.80,-3583.4149,-3583.4149,-27.54,12,-3593.27,0.976,-0.108,⚠️ منفی,40.80,6.17,0.35,0.03,31.2843,-15.2999,0.9079,801,3227.8569,-90.08,0.00,0.00,101,0,-35.4794,29.0126,55.4147,-115.1369,6.93,28.6301,-40.2535,27,360.50,75.01,-1.223,-1.501,-3583.41,0,-0.119
12,BTCUSDT-1m_PAXGUSDT-1m,19929,8112,11817,40.70,-2357.1085,-2357.1085,-20.38,6,-2360.47,0.885,-0.140,⚠️ منفی,40.70,5.61,0.28,0.03,17.0914,-8.4459,0.8423,386,1456.7330,-61.80,0.00,0.00,101,0,-23.3377,18.0468,32.0429,-84.7212,3.96,17.0171,-25.0018,32,197.32,53.45,-1.293,-1.435,-2357.11,0,-0.119
13,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,44088,17833,26255,40.45,-3612.4102,-3612.4102,-27.54,12,-3619.90,1.074,-0.084,⚠️ منفی,40.45,6.81,0.42,0.05,31.2843,-15.2999,0.9708,1058,4414.6646,-122.21,0.00,0.00,101,0,-35.7664,32.3959,68.2537,-103.4572,10.89,28.3855,-43.6072,27,436.51,98.64,-1.104,-1.509,-3612.41,0,-0.119
14,ETHUSDT-1m_PAXGUSDT-1m,21358,8628,12730,40.40,-2282.5393,-2282.5393,-20.88,7,-2293.20,0.956,-0.118,⚠️ منفی,40.40,5.99,0.34,0.03,31.2843,-15.2999,0.9027,460,1819.2017,-79.70,0.00,0.00,101,0,-22.5994,20.3313,30.7748,-78.6676,11.88,13.0379,-27.4044,25,211.47,52.03,-1.112,-1.414,-2282.54,0,-0.119
15,BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,47914,19334,28580,40.35,-4261.8928,-4261.8928,-27.54,12,-4269.39,1.044,-0.093,⚠️ منفی,40.35,6.48,0.43,0.04,31.2843,-15.2999,0.9548,1116,4707.0674,-110.45,0.00,0.00,101,0,-42.1970,32.3775,41.9514,-128.0900,7.92,23.2206,-47.8243,27,474.40,79.73,-1.303,-1.575,-4261.89,0,-0.119
16,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,48965,19718,29247,40.27,-4668.6431,-4668.6431,-27.54,12,-4678.60,1.018,-0.102,⚠️ منفی,40.27,6.44,0.37,0.04,31.2843,-15.2999,0.9382,1103,4462.7424,-95.59,0.00,0.00,101,0,-46.2242,34.7304,61.9468,-140.9573,5.94,34.4456,-51.3191,27,484.80,130.62,-1.331,-1.605,-4668.64,0,-0.119
17,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,52791,21219,31572,40.19,-5318.1257,-5318.1257,-27.54,12,-5328.09,0.995,-0.109,⚠️ منفی,40.19,6.17,0.39,0.04,31.2843,-15.2999,0.9256,1161,4755.1452,-89.41,0.00,0.00,101,0,-52.6547,34.5233,41.9514,-142.5974,5.94,19.1038,-57.1868,27,522.68,96.74,-1.525,-1.748,-5318.13,0,-0.119
18,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,60469,24197,36272,40.02,-5347.1210,-5347.1210,-27.54,12,-5354.71,1.065,-0.091,⚠️ منفی,40.02,6.64,0.43,0.05,31.2843,-15.2999,0.9689,1418,5941.9529,-111.12,0.00,0.00,101,0,-52.9418,37.2324,41.9514,-142.0878,6.93,29.9551,-59.1150,27,598.70,121.94,-1.422,-1.737,-5347.12,0,-0.119
19,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,32484,12975,19509,39.94,-3442.3368,-3442.3368,-25.42,8,-3445.80,0.984,-0.116,⚠️ منفی,39.94,6.24,0.34,0.06,31.2843,-10.2019,0.9157,688,2691.6185,-78.19,0.00,0.00,101,0,-34.0825,25.4674,38.5750,-119.0507,4.95,19.4221,-36.8692,27,321.62,120.79,-1.338,-1.505,-3442.34,0,-0.119
20,BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,36310,14476,21834,39.87,-4091.8194,-4091.8194,-20.38,6,-4095.28,0.954,-0.125,⚠️ منفی,39.87,5.87,0.37,0.04,24.9874,-13.0280,0.8991,746,2984.0214,-72.93,0.00,0.00,101,0,-40.5131,24.3087,11.1766,-121.1971,5.94,6.4263,-43.4777,28,359.50,77.49,-1.667,-1.852,-4091.82,0,-0.119
21,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,65346,26082,39264,39.91,-6403.3540,-6403.3540,-27.54,12,-6413.41,1.024,-0.104,⚠️ منفی,39.91,6.38,0.40,0.05,31.2843,-15.2999,0.9447,1463,5990.0308,-93.55,0.00,0.00,101,0,-63.3995,39.8125,41.9514,-180.3142,5.94,22.0637,-68.7972,27,646.99,152.75,-1.592,-1.845,-6403.35,0,-0.119
22,PAXGUSDT-1m,4877,1885,2992,38.65,-1056.2329,-1056.2329,-19.38,4,-1060.90,0.505,-0.394,⚠️ منفی,38.65,3.12,0.00,0.04,4.8975,-6.0858,0.5498,45,48.0778,-4.55,0.00,0.00,70,0,-15.0890,11.0555,7.4357,-52.4465,4.29,2.7521,-15.8879,36,69.67,27.67,-1.365,-1.425,-1056.23,0,-0.171
23,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,33913,13491,20422,39.78,-3367.7675,-3367.7675,-25.92,9,-3378.53,1.025,-0.105,⚠️ منفی,39.78,6.45,0.37,0.05,31.2843,-15.2999,0.9483,762,3054.0873,-90.69,0.00,0.00,101,0,-33.3442,27.7730,30.7748,-104.4880,11.88,13.5687,-39.6696,15,335.77,122.78,-1.201,-1.461,-3367.77,0,-0.119
24,ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,37739,14992,22747,39.73,-4017.2501,-4017.2501,-20.88,7,-4028.01,0.992,-0.114,⚠️ منفی,39.73,6.07,0.40,0.04,31.2843,-15.2999,0.9297,820,3346.4901,-83.30,0.00,0.00,101,0,-39.7748,26.8059,37.0629,-102.7625,5.94,18.1589,-43.4337,27,373.65,78.48,-1.484,-1.734,-4017.25,0,-0.119
25,ETHUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,45417,17970,27447,39.57,-4046.2454,-4046.2454,-20.98,16,-4054.64,1.086,-0.090,⚠️ منفی,39.57,6.71,0.45,0.06,31.2843,-15.2999,0.9862,1077,4533.2978,-112.04,0.00,0.00,101,0,-40.0618,29.3834,41.5001,-116.4880,10.89,15.8800,-46.8992,15,449.67,112.34,-1.363,-1.772,-4046.25,0,-0.119
26,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,48865,19339,29526,39.58,-5177.0476,-5177.0476,-25.42,8,-5180.61,1.003,-0.114,⚠️ منفی,39.58,6.22,0.39,0.06,31.2843,-13.0280,0.9321,1048,4218.9069,-81.49,0.00,0.00,101,0,-51.2579,30.7006,21.5968,-158.9140,4.95,10.3194,-54.4650,32,483.81,142.40,-1.670,-1.835,-5177.05,0,-0.119
27,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,50294,19855,30439,39.48,-5102.4784,-5102.4784,-25.92,9,-5113.34,1.030,-0.106,⚠️ منفی,39.48,6.36,0.41,0.06,31.2843,-15.2999,0.9534,1122,4581.3756,-89.79,0.00,0.00,101,0,-50.5196,33.2453,37.0629,-137.2068,5.94,16.7366,-54.7673,43,497.96,145.15,-1.520,-1.723,-5102.48,0,-0.119
